Ticker ,eps,cr
HD,11.56,1.36
SNPS,4.27,1.19
CELH,0.08,3.16
NLS,1.1,1.86
WYY,0.24,1.15
SHOP ,1.62,17.87
SPSC,1.15,4.79
CTLT,1.58,2.56
CORT,0.89,10.77
ALXN ,4.31,3.81
HZNP ,3.61,3.49
ACMR,0.67,2.62
VNET ,0.77,2.24
KNSL ,3,1.56
BR,4.03,1.51
OSTK ,0.35,1.68
OIIM ,0.13,4.99
LPTH ,0.079,2.95
BRKS ,0.88,3.08
PTC,1.12,1.22
IRBT ,5.39,3.05
ALRM ,1.47,4.67
JD,0.15,1.2
LRCX ,17.6,3.31
NTAP,3.07,1.65
NVDA,6.12,3.92
CRM,3.86,1.22
SWKS,4.8,5.17
SYNA ,3.2,2.41
TSM ,2.23,1.75
MSFT ,6.2,2.53
FB,8.78,5.51
TSLA,0.52,1.63
ETSY,1.86,4.98
PYPL ,2.65,1.38
IPGP ,1.97,10.09
DE,8.69,1.89
ROK ,8.77,1.48
ALB ,3.59,1.38
NKE,1.77,2.66
CAT,6.03,1.54
ERIE ,5.55,1.31
ASML ,6.96,2.92
