eps,current_Rat
1.47,4.67
0.15,1.2
17.6,3.31
3.07,1.65
6.12,3.92
3.86,1.22
4.8,5.17
3.2,2.41
2.23,1.75
6.2,2.53
8.78,5.51
0.52,1.63
1.86,4.98
2.65,1.38
3.59,1.38
1.77,2.66
6.03,1.54
11.56,1.36
4.27,1.19
0.08,3.16
1.1,1.86
0.24,1.15
1.62,17.87
1.15,4.79
1.58,2.56
0.89,10.77
4.31,3.81
3.61,3.49
0.67,2.62
0.77,2.24
3,1.56
5.55,1.31
6.96,2.92
1.97,10.09
4.03,1.51
0.35,1.68
0.13,4.99
0.079,2.95
0.88,3.08
1.12,1.22
5.39,3.05
8.69,1.89
8.77,1.48
0.079,1.15
17.6,17.87
4.38025,4.18
8.7605,8.36
13.14075,12.54
